text1	text2	label
腰骶外伤骶4椎体骨折	癌	0
食道高-中分化鳞癌粒子植入术后	鳞状细胞癌	1
宫颈中分化内膜样腺癌Ib1期	子宫内膜样腺癌	1
腰椎骨折术后	腰椎骨折	1
咳嗽晕厥	咳嗽晕厥综合征	1
右肺鳞癌维持性化学治疗	恶性肿瘤维持性化学治疗	1
可疑恶性肿瘤观察高CEACa19-9血症	阴囊炎	0
皮肤瘀斑原因待查	血管角质瘤	0
高血脂心脏损害	高脂血症	1
"""升结肠癌,腹腔转移术后"""	腹腔继发恶性肿瘤	1
上肢动静脉瘘	胃窦恶性肿瘤	0
升结肠溃疡型中分化腺癌，大小4.2×3.5cm	升结肠恶性肿瘤	1
高血压糖尿病上感	恶性肿瘤放疗	0
放疗后继发不适	急性呼吸窘迫综合征	0
"""高龄,肺占位,肺癌可能大"""	肺恶性肿瘤	1
性早熟中枢性性早熟单纯乳房发育	孕13周	0
右输尿管结石右肾积水	肾积水伴输尿管结石	1
食管低分化鳞状细胞癌	食管恶性肿瘤	1
肝动脉栓塞，射频治疗后	射频消融术后	1
盲肠1升结肠2管状腺瘤伴低级别上皮内瘤变	盲肠良性肿瘤	1
右肺钙化结节	肺占位性病变	1
右眼裂小待查	睑裂狭小	1
呼吸道感染(咳嗽)	呼吸道感染	1
右腕豌豆骨撕脱性骨折并半脱位可疑	骨质破坏	0
雷诺病	转移性肿瘤	0
不全性粘连性肠梗组	髋关节囊肿	0
化扁；溃疡性口腔炎；支气管炎	溃疡性口炎	1
糖尿病性感觉运动性周围神经病变	糖尿病性感觉运动性周围神经病	1
腰椎间盘腰45椎腰5骶1椎突出继发椎	腰椎间盘突出	1
卵巢交界性肿瘤术后复查	卵巢术后	1
右乳上象限浸润性导管癌	浸润性导管癌	1
造瘘口旁组织脱出	腹痛	0
低钙镁氯血症	低镁血症	1
宫颈腺癌放化疗后	恶性肿瘤放疗	1
慢性粒细胞白血病-急性淋巴细胞白血病变	急性淋巴细胞白血病	1
主动脉动脉硬化	主动脉硬化	1
双肺气肿并肺大泡形成	腰椎后凸	0
冠心病高血压脑梗塞结膜炎	冠状动脉粥样硬化性心脏病	1
弓形虫病	其他特指的预防措施	0
子宫前壁浆膜下肌瘤	其他间质性肺疾病	0
主动脉瓣二尖瓣慢性病变	心房颤动[心房纤颤]	0
肝占位性病变:肝癌	食管下三分之一的恶性肿瘤	0
慢性胃炎伴糜烂.失眠	慢性胃炎	1
多发颅内动脉狭窄伴不稳定斑块	动脉狭窄	1
胸腰椎退行改变	肾萎缩	0
左侧基底节血管性病变，静脉畸形伴海绵状血管瘤?	基底节病变	1
右腕部尺神经瘤	尺神经良性肿瘤	1
支气管肺炎、轮状病毒肠炎、心肌损害？	腕部开放性损伤	0
卵巢高级别浆液性腺癌	卵巢恶性肿瘤	1
中耳炎(伴急性结膜炎)	急性结膜炎	1
1型糖尿病性植物神经病变	结核感染	0
"""左卵巢高级别浆液性癌,甲状腺功能低下,失眠 关节疼痛,严重骨质疏松,失眠,便秘"""	心肺复苏术后	0
甲状腺滤泡性腺瘤伴出血囊性变	滤泡性腺瘤	1
外耳道炎，急性	子宫颈恶性肿瘤	0
右下腹肌肉慢性炎	肌炎	1
多发性梗塞累及脑干	脑干梗死	1
双颊及下唇扁平苔藓免疫异常	口腔扁平苔癣	1
食管中上段鳞癌化疗后	鳞状细胞癌	1
1、(R93.203)肝占位性病变2、慢性乙型肝炎3、(K74.608)肝炎后肝硬化失代偿期	未特指的糖尿病伴有神经的并发症	0
双眼眼袋	下睑袋	1
慢性阻塞性肺疾病急性加重期气管插管术后II型呼吸衰竭	气管术后	1
M蛋白血症意义未明的单株免疫球蛋白血症	肠阿米巴病	0
面部皮肤赘生物	皮赘	1
右上腹不适待查，消化不良？	色素沉着未特指的疾患	0
直肠癌术后4年，确诊为复发放疗中	双侧感音神经性聋	0
卵巢癌术后复发第六次化疗后	妊娠状态	0
胸101112椎骨质破坏待查伴不全瘫	骨质破坏	1
胎儿异常内脏外翻胸腹壁缺损	胎儿腹裂	1
子宫颈鳞癌IIIB期放化疗后	2型糖尿病	0
"""食管癌 造影检查,纵隔腹腔淋巴结转移,胃镜检查、局麻、预防出血,疼痛,成人不能进食、鼻饲"""	被别人殴打、踢、拧、咬或抓伤	0
十二指肠球降交界符合低级别管状腺瘤早期	管状腺瘤	1
弥漫小肠及小肠系膜受累Ⅳ期2周期化疗后	腰椎间盘移位	0
双侧额叶基底节区多发腔隙性缺血梗塞灶	肺源性心脏病	0
头颈肩部痛	升结肠恶性肿瘤	0
左乳癌	肝继发恶性肿瘤	0
急性前壁心肌再梗死KillipⅢ级	咽痛	0
"""行动不便,慢性失眠,消化不良,呕吐,胃溃疡、反酸咽喉肿痛,感冒咽炎咳嗽咳痰,便秘,重度骨关节炎"""	重度骨关节病	1
右小腿皮肤擦挫伤	急性淋巴细胞白血病L2型	0
躯体化障碍重度焦虑抑郁	淋巴组织增生病	0
"""颈椎病,颈项痛,腰腿痛"""	卵巢恶性肿瘤	0
躯体阵挛待查	痉挛	1
