text1	text2	label
右肱骨外髁骨折神经损伤	上肢神经损伤	1
右内踝及距骨内侧骨软骨缺损伴游离体形成	踝关节内游离体	1
运动发育迟缓歌舞伎综合症	歌舞伎面谱综合征[Kabuki综合征]	1
颈椎硬膜外血肿伴不全瘫	硬膜外血肿	1
高血压病(左房扩大)	左房扩大	1
腹膜后及腹腔内多发稍大淋巴结	腹腔淋巴结肿大	1
"""乳腺癌改良根治术后,化疗,骨转移,骨质疏松,肝转移,肝损伤"""	骨继发恶性肿瘤	1
多发胸椎骨质破坏性质	骨质破坏	1
获得性凝血功能障碍维生素K依赖性	维生素K缺乏	1
消化系统合并症：①慢性非萎缩性胃炎伴胆汁反流（轻度）②十二指肠炎③Barrett食管④肝右叶多发小囊肿⑤肝右叶钙化灶	肝囊肿	1
右耳蜂蜇伤	耳部损伤	1
臀部软组织尤文肉瘤	臀部恶性肿瘤	1
宫颈癌术后化疗后复查	恶性肿瘤化学治疗后的随诊检查	1
特指手术后状态(右肝癌术后)	其他特指的手术后状态	1
左足透明细胞肉瘤反复复发术后	透明细胞肉瘤	1
右侧颞叶及基底节区脑出血	颞叶出血	1
慢性萎缩性胃炎并糜烂	慢性萎缩性胃炎	1
宫内早孕	妊娠状态	1
"""右侧乳腺癌术后 化疗,重度骨质疏松骨折 消肿止痛,右锁骨上淋巴结转移,关节痛，失眠"""	重度骨质疏松	1
多发子宫肌瘤	子宫多发性平滑肌瘤	1
左桡骨、腕骨骨折	桡骨骨折	1
热水烫伤面颈部双上肢躯干7%TBSAⅡ	沸水烫伤	1
西医1神经症2脑后循环缺血	未特指的神经症性障碍	1
肝内外胆管结石并急性胆管炎	急性胆管炎	1
可疑恶性肿瘤观察高CEACa19-9血症	CA199升高	1
C6-7脊髓内脱髓鞘改变	脱髓鞘性脊髓病	1
食管下端溃疡型低分化癌（pT3	癌	1
"""行动不便,SLE，,上呼吸道感染、发热、咳嗽咳痰,咽痛,慢性便秘,高脂血症,高血压,预防血栓,肝肾阴虚、腰膝酸软"""	高脂血症	1
左下肢左髋骶尾部压迫性溃疡	压疮	1
"""直肠癌 盆腔淋巴结转移,术前放化疗"""	盆腔淋巴结继发恶性肿瘤	1
神经元特异性烯醇化酶轻度升高	肿瘤标记物升高	1
"""肺癌晚期术后复发放疗低硒,咯血,疼痛,咳嗽,恶心,呕吐"""	癌	1
特指再生障碍性贫血	其他特指的再生障碍性贫血	1
椎基底A供血不足胃黏膜撕裂症	椎-基底动脉供血不全	1
急性粒细胞白血病MCR2	急性粒细胞性白血病	1
新生儿卵圆孔未闭20mm转归其他	卵圆孔未闭	1
左侧椎动脉动脉供血不足	椎-基底动脉供血不全	1
左臂部恶性黑素瘤	恶性黑色素瘤	1
肝曲横结肠管状腺瘤低级别局灶高级别	结肠肝曲良性肿瘤	1
癌细胞侵入胰腺组织并侵及十二指肠粘膜	癌	1
肾造瘘术后(左)	肾造口状态	1
原发性支气管肺癌(左上肺 鳞癌可能 cT4N0M1(骨 )	左肺上叶恶性肿瘤	1
右上肺低分化神经内分泌癌	右肺上叶恶性肿瘤	1
发热;上呼吸道感染?;泌尿道感染?	发热	1
心律失常窦性心动过缓	心律失常	1
左侧口角撕裂伤伴组织缺损	唇和口腔开放性损伤	1
热水烫伤躯干右股TBSA7%深Ⅱ度	下肢烫伤	1
绝经后子宫	绝经期	1
急性胆囊炎胆囊结石急性胃炎	急性胆囊炎	1
扩张型心脏病酒精性心脏病可能性大	酒精性心肌病	1
